playerID,birthCountry,bats
blairfo01,USA,L
blairpa01,USA,R
blairwa01,USA,R
blairwi01,USA,R
blakeca01,USA,R
blakeed01,USA,R
blakeha01,USA,R
blakeli01,USA,R
blakesh01,USA,B
blaloha01,USA,L
blancal01,USA,R
blancan01,Venezuela,B
blancda01,Venezuela,R
blancgi01,USA,L
blancgr01,Venezuela,L
blanche01,Venezuela,R
blancjo01,USA,L
blancos01,Venezuela,R
blancto01,D.R.,R
blandfr01,USA,R
blandna01,USA,L
blankcl01,USA,R
blankco01,USA,R
blankfr01,USA,L
blankho01,USA,R
blankke01,USA,R
blankky01,USA,R
blankla01,USA,R
blankla02,USA,R
blankma01,USA,L
blankte01,USA,R
blantcy01,USA,L
blantjo01,USA,R
blasido01,USA,L
blasiwa01,USA,L
blassst01,USA,R
blatest01,USA,R
blatnjo01,USA,R
blattbu01,USA,R
blausje01,USA,R
blaylbo01,USA,R
blaylga01,USA,R
blaylma01,USA,L
blaziro01,USA,R
blefacu01,USA,L
blemkra01,USA,R
blessik01,USA,R
blethcl01,USA,L
blevije01,USA,L
blewebo01,USA,L
blighne01,USA,R
blissel01,USA,L
blissja01,USA,R
blockbr01,USA,R
blockcy01,USA,R
blockte01,USA,L
blombro01,USA,L
blomdbe01,USA,R
blongjo01,USA,R
bloodji01,USA,R
bloombu01,USA,R
bloomwi01,USA,R
blossgr01,USA,L
blottja01,USA,R
blowemi01,W.Germany,R
bluebe01,USA,R
bluegos01,USA,R
bluegot01,USA,R
bluejji01,USA,R
bluelu01,USA,B
bluevi01,USA,B
bluhmre01,USA,R
blumaja01,USA,R
blumecl01,USA,R
blumge01,USA,B
blylebe01,Netherlands,R
blyzkmi01,USA,R
boakch01,USA,R
boardch01,USA,L
bobbra01,USA,R
bocachi01,P.R.,R
boccajo01,USA,R
bocekmi01,USA,R
